step = 	116	 obj = 	827.1714	 error = 	0.0059397
step = 	117	 obj = 	826.3987	 error = 	0.0032521
step = 	118	 obj = 	825.6427	 error = 	0.0019634
step = 	119	 obj = 	824.8955	 error = 	0.0020479
step = 	120	 obj = 	824.1564	 error = 	0.0021169
step = 	121	 obj = 	823.4253	 error = 	0.0021618
step = 	122	 obj = 	822.7019	 error = 	0.0021799
step = 	123	 obj = 	821.9884	 error = 	0.0021708
step = 	124	 obj = 	821.2871	 error = 	0.0021337
step = 	125	 obj = 	820.6008	 error = 	0.0020666
step = 	126	 obj = 	819.9329	 error = 	0.0019674
step = 	127	 obj = 	819.286	 error = 	0.0018375
step = 	128	 obj = 	818.661	 error = 	0.0016833
step = 	129	 obj = 	818.0582	 error = 	0.0015154
step = 	130	 obj = 	817.477	 error = 	0.0013446
step = 	131	 obj = 	816.9169	 error = 	0.0011796
step = 	132	 obj = 	816.377	 error = 	0.0010259
step = 	133	 obj = 	815.8562	 error = 	0.00088676
step = 	134	 obj = 	815.3534	 error = 	0.00076315
step = 	135	 obj = 	814.8672	 error = 	0.00065497
step = 	136	 obj = 	814.3964	 error = 	0.00056131
step = 	137	 obj = 	813.9393	 error = 	0.00048088
step = 	138	 obj = 	813.4941	 error = 	0.0004122
step = 	139	 obj = 	813.0585	 error = 	0.00035379
step = 	140	 obj = 	812.6295	 error = 	0.00033393
step = 	141	 obj = 	812.2021	 error = 	0.00034383
step = 	142	 obj = 	811.7671	 error = 	0.00035885
step = 	143	 obj = 	811.3116	 error = 	0.00077337
step = 	144	 obj = 	810.8384	 error = 	0.0024964
step = 	145	 obj = 	810.3798	 error = 	0.003143
step = 	146	 obj = 	809.9483	 error = 	0.0015454
step = 	147	 obj = 	809.5323	 error = 	0.00053565
step = 	148	 obj = 	809.1238	 error = 	0.00059894
step = 	149	 obj = 	808.7189	 error = 	0.00067487
step = 	150	 obj = 	808.3145	 error = 	0.00076548
step = 	151	 obj = 	807.9086	 error = 	0.0008731
step = 	152	 obj = 	807.4991	 error = 	0.0010001
step = 	153	 obj = 	807.0839	 error = 	0.0011488
step = 	154	 obj = 	806.6601	 error = 	0.0013208
step = 	155	 obj = 	806.2233	 error = 	0.0015163
